"annotation","Module","identifier","InChiKey","ion_species","mz","ret_time","ESI_mode","Formula","Super.class","Main.class","Sub.class","Pubchem_CID_final","Pubchem_CID_direct","Pubchem_CID_refmet","CID_agree","CHEBI_ID","HMDB_ID","LM_ID","KEGG_ID","INCHI_KEY","REFMET_ID"
"PC P-34:1 or PC O-34:2 Isomer A","grey","2.36_802.59","MBRHHFWRXQYYAN-RTVLTNFHSA-N","[M+Hac-H]-",802.5921,2.356,"ESI neg","C42H82NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",53480735,53480735,NA,"only_direct","","","","","","RM0033106"
"PC P-42:2 or PC O-42:3","grey","2.98_854.70",NA,"[M+H]+",854.6992,2.978,"ESI pos","C50H96NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",NA,NA,NA,"both_missing","","","","","","RM0051524"
"PC P-42:5 or PC O-42:6 Isomer A","grey","2.50_848.65","QZMFOSCFDWPISC-KQHSIIGPSA-N","[M+H]+",848.6536,2.499,"ESI pos","C50H90NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",53481769,53481769,NA,"only_direct","","","","","","RM0015910"
"LNAPE 18:2/N-20:0","grey","2.46_770.57","LMJRVTNHOFDJIG-UHFFFAOYSA-N","[M-H]-",770.5687,2.461,"ESI neg","","Glycerophospholipids","Glycerophosphoethanolamines","LPE",NA,NA,NA,"both_missing","-","-","-","-","-","-"
"LNAPE 18:2_N-19:0","grey","2.39_756.55","UCMCRSUZJUVXPT-MLWYYCKJSA-N","[M-H]-",756.5541,2.391,"ESI neg","","Glycerophospholipids","Glycerophosphoethanolamines","LPE",165300775,165300775,NA,"only_direct","-","-","-","-","-","-"
"1,2-Dioleoyl-sn-glycero-3-phospho-(1'-myo-inositol)","grey","2.08_861.55","LALGUHSIWLNTNW-UHFFFAOYSA-N","[M-H]-",861.5473,2.084,"ESI neg","","Glycerophospholipids","Glycerophosphoinositols","PI",77177520,77177520,44251424,"disagree","-","-","-","-","-","-"
"PI 34:1 Isomer A","grey","2.03_835.53","PDLAMJKMOKWLAJ-AGORXRROSA-N","[M-H]- ",835.5336,2.034,"ESI neg","C43H81O13P","Glycerophospholipids","Glycerophosphoinositols","PI",NA,NA,NA,"both_missing","","","","","","RM0138798"
"PI 34:2","grey","1.91_857.51","GIASXRZRWQSUOZ-QGLGPCELSA-N","[M+Na]+",857.5129,1.906,"ESI pos","C43H79O13P","Glycerophospholipids","Glycerophosphoinositols","PI",138160318,138160318,NA,"only_direct","","","","","","RM0138799"
"PI 34:2 Isomer B","grey","1.88_833.52","GXAHXPDRXNWFIX-UHFFFAOYSA-N","[M-H]-",833.5176,1.876,"ESI neg","C43H79O13P","Glycerophospholipids","Glycerophosphoinositols","PI",75961204,75961204,NA,"only_direct","","","","","","RM0138799"
"PI 36:1 Isomer A","grey","2.26_863.57","YOBFISPJJWPPTK-JUCSSFOXSA-N","[M-H]- ",863.5656,2.258,"ESI neg","C45H85O13P","Glycerophospholipids","Glycerophosphoinositols","PI",NA,NA,NA,"both_missing","","","","","","RM0106289"
"PI 38:3","grey","2.14_887.56","VVADTISLHXZLIB-WNWAWKNRSA-N","[M-H]-",887.5643,2.137,"ESI neg","C47H85O13P","Glycerophospholipids","Glycerophosphoinositols","PI",NA,NA,NA,"both_missing","","","","","","RM0056603"
"PMeOH 16:0_18:1","grey","2.06_687.50","VAARQXKGNHCRDF-HNENSFHCSA-N","[M-H]-",687.4961,2.058,"ESI neg","","Glycerophospholipids","Glycerophosphoinositols","PMeOH",91844613,91844613,NA,"only_direct","-","-","-","-","-","-"
"PS 36:2","grey","2.12_786.53","WTBFLCSPLLEDEM-UHFFFAOYSA-N","[M-H]-",786.5278,2.121,"ESI neg","C42H78NO10P","Glycerophospholipids","Glycerophosphoserines","PS",3451126,3451126,NA,"only_direct","","","","","","RM0134623"
"PFAP-FT_diPAP","grey","0.21_788.97","ZDYYWMSLMLTXDM-UHFFFAOYSA-N","[M-H]-",788.973,0.214,"ESI neg","","PFAS_related","Perfluoroalkyl_Phosphate_Acid_derivative","PFAP",14550408,14550408,NA,"only_direct","-","-","-","-","-","-"
"Cer 18:0;3O/16:0;(2OH)","grey","1.98_572.52","RHIXBFQKTNYVCX-UHFFFAOYSA-N","[M+H]+",572.5236,1.975,"ESI pos","C34H69NO5","Sphingolipids","Ceramides","PhytoCer",25201286,25201286,NA,"only_direct","","","","","","RM0033425"
"Cer 20:0;2O/24:0","grey","3.55_680.69","OEROUXQFUNUVIP-UHFFFAOYSA-N","[M+H]+",680.693,3.546,"ESI pos","C44H89NO3","Sphingolipids","Ceramides","DHCer",77908675,77908675,70678830,"disagree","66988","","LMSP02020027","","OEROUXQFUNUVIP-WZYYJWNZSA-N","RM0122192"
"Cer d34:0","grey","2.48_574.50","GCGTXOVNNFGTPQ-JHOUSYSJSA-N","[M+Cl]-",574.4966,2.485,"ESI neg","C34H69NO3","Sphingolipids","Ceramides","DHCer",5283572,5283572,NA,"only_direct","","","","","","RM0134193"
"Cer d43:2","grey","3.28_662.64","YWTUDCXNLITZPX-UHFFFAOYSA-N","[M+H]+",662.6426,3.28,"ESI pos","C43H83NO3","Sphingolipids","Ceramides","Cer",163180417,163180417,NA,"only_direct","","","","","","RM0006220"
"Cer d46:2","grey","3.58_704.69","AXJZLCAIYPBXLK-DMFJBLMBSA-N","[M+H]+",704.6901,3.579,"ESI pos","C46H89NO3","Sphingolipids","Ceramides","Cer",134719880,134719880,NA,"only_direct","","","","","","RM0054152"
"Cer-NDS d39:0","grey","3.03_610.61","BIFMSTXKGBZSAW-UHFFFAOYSA-N","[M+H]+",610.613,3.026,"ESI pos","C39H79NO3","Sphingolipids","Ceramides","Cer",132994579,132994579,NA,"only_direct","","","","","","RM0120037"
"GlcCer d40:1","grey","2.94_818.63","YIGARKIIFOHVPF-YAEABVQUSA-N","[M+Cl]- ",818.6278,2.939,"ESI neg","C46H89NO8","Sphingolipids","Glycosphingolipids","HexCer",6321359,6321359,NA,"only_direct","","","","","","RM0125759"
"GlcCer d41:1","grey","3.05_832.64","SJGWLQDELUWRDA-MUYAOIFFSA-N","[M+Cl]-",832.6385,3.049,"ESI neg","C47H91NO8","Sphingolipids","Glycosphingolipids","HexCer",52931253,52931253,NA,"only_direct","","","","","","RM0038137"
"GlcCer d42:1","grey","3.16_846.66","POQRWMRXUOPCLD-AAAFHMTMSA-N","[M+Cl]- ",846.6583,3.164,"ESI neg","C48H93NO8","Sphingolipids","Glycosphingolipids","HexCer",6321361,6321361,NA,"only_direct","","","","","","RM0134085"
"GlcCer d42:2","grey","2.92_844.64","WBOZIXHPUPAOIA-RBELZSLISA-N","[M+Cl]-",844.6445,2.924,"ESI neg","C48H91NO8","Sphingolipids","Glycosphingolipids","HexCer",6321360,6321360,NA,"only_direct","","","","","","RM0134086"
"HexCer 18:1;2O/24:0","grey","3.09_812.70","POQRWMRXUOPCLD-UHFFFAOYSA-N","[M+H]+",812.6992,3.091,"ESI pos","C48H93NO8","Sphingolipids","Glycosphingolipids","HexCer",74950937,74950937,NA,"only_direct","","","","","","RM0042554"
"SHexCer 34:1;3O","grey","1.76_794.51","JRFKMQPJBVVBJJ-HNENSFHCNA-N","[M-H]-",794.5099,1.758,"ESI neg","C40H77NO12S","Sphingolipids","Glycosphingolipids","SHexCer",NA,NA,NA,"both_missing","","","","","","RM0026430"
"SHexCer d34:1","grey","1.79_778.51","XJVULJZLBYKHPR-ZZEZOPTASA-N","[M-H]-",778.5137,1.792,"ESI neg","C40H77NO11S","Sphingolipids","Glycosphingolipids","SHexCer",138296974,138296974,NA,"only_direct","","","","","","RM0119002"
"N-docosanoyl-4-sphingenyl-1-O-phosphorylcholine","grey","2.37_809.65","FJJANLYCZUNFSE-UHFFFAOYSA-N","[M+Na]+",809.6534,2.365,"ESI pos","C45H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",74978583,74978583,44260125,"disagree","74532","HMDB0012103","LMSP03010006","","FJJANLYCZUNFSE-TWKUQIQBSA-N","RM0138870"
"N-docosanoyl-4-sphingenyl-1-O-phosphorylcholine","grey","2.37_809.65","FJJANLYCZUNFSE-UHFFFAOYSA-N","[M+Na]+",809.6534,2.365,"ESI pos","C45H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",74978583,74978583,44260125,"disagree","74532","HMDB0012103","LMSP03010006","","FJJANLYCZUNFSE-TWKUQIQBSA-N","RM0138870"
"SM 16:1;2O/16:0","grey","1.87_719.54","RPTUKVYGSPDHGQ-PSALXKTOSA-N","[M+FA-H]-",719.5381,1.874,"ESI neg","C37H75N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931133,52931133,52931133,"agree","133171","HMDB0240616","LMSP03010035","","RPTUKVYGSPDHGQ-PSALXKTOSA-N","RM0059186"
"SM 20:0;2O/22:3","grey","2.64_855.66","BCTOQCAZSBNMRM-UHFFFAOYSA-N","[M+FA-H]-",855.6617,2.639,"ESI neg","C47H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",NA,NA,NA,"both_missing","","","","","","RM0186258"
"SM 25:2;2O/15:1","grey","2.34_783.64","JBQDYUPDGKCATP-TXCPKXGHSA-N","[M+H]+",783.6354,2.338,"ESI pos","C45H87N2O6P","Sphingolipids","Phosphosphingolipids","SM",138183391,138183391,NA,"only_direct","-","-","-","-","-","-"
"SM 30:2;2O (FA 14:0)","grey","2.97_855.70","UKMFJSXXKFILSZ-CLPWHFLUSA-N","[M+H]+",855.7022,2.97,"ESI pos","","Sphingolipids","Phosphosphingolipids","SM",164435995,164435995,NA,"only_direct","-","-","-","-","-","-"
"SM 35:1;2O","grey","2.20_739.57","NZVSGOQOFUVMHA-QOSDPKFLSA-N","[M+Na]+",739.5731,2.198,"ESI pos","C40H81N2O6P","Sphingolipids","Phosphosphingolipids","SM",164360868,164360868,NA,"only_direct","","","","","","RM0059990"
"SM d36:0 Isomer B","grey","2.42_733.62","ZGVJYAAWNDFHCO-UHFFFAOYSA-N","[M+H]+",733.6213,2.418,"ESI pos","C41H85N2O6P","Sphingolipids","Phosphosphingolipids","SM",133039055,133039055,NA,"only_direct","","","","","","RM0134098"
"SM d38:3","grey","2.12_755.61","KULNRFSPBZSGEG-FKXCBRKISA-N","[M+H]+",755.6056,2.121,"ESI pos","C43H83N2O6P","Sphingolipids","Phosphosphingolipids","SM",138197772,138197772,NA,"only_direct","","","","","","RM0134103"
"SM d41:2 Isomer A","grey","2.75_857.67","JBDGKEXQKCCQFK-JWQIMADESA-N","[M+Hac-H]- ",857.6717,2.751,"ESI neg","C46H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931209,52931209,NA,"only_direct","","","","","","RM0134158"
"SM d41:2 Isomer A","grey","2.75_857.67","JBDGKEXQKCCQFK-JWQIMADESA-N","[M+Hac-H]- ",857.6717,2.751,"ESI neg","C46H91N2O6P","Sphingolipids","Phosphosphingolipids","SM",52931209,52931209,NA,"only_direct","","","","","","RM0134158"
"SM d44:2","grey","3.08_899.72","YXEXWUZHFGYOHJ-UOJCCMJYSA-N","[M+Hac-H]-",899.7223,3.085,"ESI neg","C49H97N2O6P","Sphingolipids","Phosphosphingolipids","SM",44260128,44260128,NA,"only_direct","","","","","","RM0122300"
"SM d44:2","grey","3.08_899.72","YXEXWUZHFGYOHJ-UOJCCMJYSA-N","[M+Hac-H]-",899.7223,3.085,"ESI neg","C49H97N2O6P","Sphingolipids","Phosphosphingolipids","SM",44260128,44260128,NA,"only_direct","","","","","","RM0122300"
"SM d44:3","grey","2.88_897.71","BEKSPMFXMXQNCT-BVJXSWLFSA-N","[M+Hac-H]-",897.7085,2.875,"ESI neg","C49H95N2O6P","Sphingolipids","Phosphosphingolipids","SM",138125546,138125546,NA,"only_direct","","","","","","RM0134112"
"SPB 25:0;2O","grey","1.64_400.41","QXSJLYUTPJUIBV-UHFFFAOYSA-N","[M+H]+",400.4146,1.635,"ESI pos","C25H53NO2","Sphingolipids","Sphingoid bases","SPB",164399562,164399562,NA,"only_direct","-","-","-","-","-","-"
"SPB 26:0;2O","grey","1.75_414.43","HIEGLQBXJKXOLA-UHFFFAOYSA-N","[M+H]+",414.4302,1.746,"ESI pos","C26H55NO2","Sphingolipids","Sphingoid bases","Sphinganines",164272773,164272773,NA,"only_direct","","","","","","RM0186542"
"Cholesterol","grey","1.99_369.35","HVYWMOMLDIMFJA-DPAQBDIFSA-N","[M+H-H2O]+",369.3508,1.992,"ESI pos","C27H46O","Sterol Lipids","Sterols","Cholesterols",5997,5997,5997,"agree","16113","HMDB0000067","LMST01010001","C00187","HVYWMOMLDIMFJA-DPAQBDIFSA-N","RM0135639"
"cholesterol 3-sulfate","grey","1.31_465.30","BHYOQNUELFTYRT-UHFFFAOYSA-N","[M-H]-",465.304,1.312,"ESI neg","C27H46O4S","Sterol Lipids","Sterols","Cholesterols",4259412,4259412,65076,"disagree","41321","HMDB0000653","LMST05020016","C18043","BHYOQNUELFTYRT-DPAQBDIFSA-N","RM0135845"
"TG 56:1","grey60","4.44_934.88","OCYFAHIHWCVZKS-FHSLLVMSSA-N","[M+NH4]+",934.8787,4.441,"ESI pos","C59H112O6","Glycerolipids","Triradylglycerols","TAG",9544345,9544345,NA,"only_direct","","","","","","RM0116158"
"TG 56:2 Isomer B","grey60","4.37_932.86","PDEQUPGHMOMBFC-FYEHETCMSA-N","[M+NH4]+",932.8627,4.366,"ESI pos","C59H110O6","Glycerolipids","Triradylglycerols","TAG",9544390,9544390,NA,"only_direct","","","","","","RM0134274"
"TG 58:2","grey60","4.44_960.90","NFQQJRGJJVQGAV-MEADVOAOSA-N","[M+NH4]+",960.8954,4.441,"ESI pos","C61H114O6","Glycerolipids","Triradylglycerols","TAG",56938341,56938341,NA,"only_direct","","","","","","RM0086945"
"TG 58:3","grey60","4.37_958.88","RFMSTHTUAZETPD-JJPHLYBUSA-N","[M+NH4]+",958.8782,4.369,"ESI pos","C61H112O6","Glycerolipids","Triradylglycerols","TAG",9544748,9544748,NA,"only_direct","","","","","","RM0134275"
"TG 58:4","grey60","4.25_956.86","CCKRHDUCFMOBKX-AAINFQTBSA-N","[M+NH4]+",956.8635,4.245,"ESI pos","C61H110O6","Glycerolipids","Triradylglycerols","TAG",9544835,9544835,NA,"only_direct","","","","","","RM0115133"
"TG 60:1","grey60","4.50_990.94",NA,"[M+NH4]+",990.9403,4.5,"ESI pos","C63H120O6","Glycerolipids","Triradylglycerols","TAG",NA,NA,NA,"both_missing","","","","","","RM0134304"
"TG 60:2","grey60","4.48_988.93","QPNVLDQSHXVPMG-JMYPUKFOSA-N","[M+NH4]+",988.9266,4.479,"ESI pos","C63H118O6","Glycerolipids","Triradylglycerols","TAG",9545040,9545040,NA,"only_direct","","","","","","RM0134277"
"TG 60:3","grey60","4.44_986.91","IJOXAPFYWITIHW-KUBXGBLDSA-N","[M+NH4]+",986.9093,4.443,"ESI pos","C63H116O6","Glycerolipids","Triradylglycerols","TAG",NA,NA,NA,"both_missing","","","","","","RM0134278"
"TG 64:2","grey60","4.44_1044.99",NA,"[M+NH4]+",1044.9878,4.443,"ESI pos","C67H126O6","Glycerolipids","Triradylglycerols","TAG",NA,NA,NA,"both_missing","","","","","","RM0109856"
"DG 18:1_18:2","lightcyan","2.59_636.56","BLZVZPYMHLXLHG-UHFFFAOYSA-N","[M+NH4]+",636.5574,2.588,"ESI pos","C39H70O5","Glycerolipids","Diradylglycerols","DAG",53689091,53689091,NA,"only_direct","","","","","","RM0034254"
"TG 16:0_18:1_20:0","lightcyan","4.24_906.84","YWKYRFUPKVVPAH-UHFFFAOYSA-N","[M+NH4]+",906.839,4.238,"ESI pos","C57H108O6","Glycerolipids","Triradylglycerols","TAG",85034455,85034455,NA,"only_direct","","","","","","RM0114407"
"TG 52:1","lightcyan","4.25_899.74_4.24_883.77_4.24_878.82","NPCZZYKITFKRQZ-RFBIWTDZSA-N","[M+K]+_[M+Na]+_[M+NH4]+",NA,4.243,"ESI pos","C55H104O6","Glycerolipids","Triradylglycerols","TAG",5365005,5365005,NA,"only_direct","","","","","","RM0062103"
"TG 54:1","lightcyan","4.37_911.80_4.37_906.85","YFFIQXNTTVSKJC-NZEOUKRFSA-N","[M+Na]+_[M+NH4]+",NA,4.369,"ESI pos","C57H108O6","Glycerolipids","Triradylglycerols","TAG",16058371,16058371,NA,"only_direct","","","","","","RM0138781"
"TG 54:2","lightcyan","4.24_925.76_4.24_909.79_4.24_904.83","WUUWGORPQFKFQN-XDVOZUNOSA-N","[M+K]+_[M+Na]+_[M+NH4]+",NA,4.23933333333333,"ESI pos","C57H106O6","Glycerolipids","Triradylglycerols","TAG",56938183,56938183,NA,"only_direct","","","","","","RM0116159"
"TG 54:3","lightcyan","4.11_923.74_4.11_907.77_4.11_902.82","PHYFQTYBJUILEZ-IUPFWZBJSA-N","[M+K]+_[M+Na]+_[M+NH4]+",NA,4.10833333333333,"ESI pos","C57H104O6","Glycerolipids","Triradylglycerols","TAG",5497163,5497163,NA,"only_direct","","","","","","RM0134218"
"TG 54:4","lightcyan","3.99_921.73_3.98_905.76_3.98_900.80","BRLGHZXETDWABO-NOFIOOQLSA-N","[M+K]+_[M+Na]+_[M+NH4]+",NA,3.98433333333333,"ESI pos","C57H102O6","Glycerolipids","Triradylglycerols","TAG",9544255,9544255,NA,"only_direct","","","","","","RM0134236"
"TG 56:3","lightcyan","4.23_930.85","QXMHHXQBBKDSSL-BAQZNRHJSA-N","[M+NH4]+",930.8486,4.234,"ESI pos","C59H108O6","Glycerolipids","Triradylglycerols","TAG",9544447,9544447,NA,"only_direct","","","","","","RM0116157"
"TG 56:4","lightcyan","4.11_928.83","YONCDTJKIZDSKQ-IYASBODOSA-N","[M+NH4]+",928.8312,4.112,"ESI pos","C59H106O6","Glycerolipids","Triradylglycerols","TAG",25240379,25240379,NA,"only_direct","","","","","","RM0110468"
"TG 14:0_16:0_17:1","lightgreen","3.90_808.74","PGYNJJCWPCAGLG-BDUYNUQCSA-N","[M+NH4]+",808.739,3.9,"ESI pos","C50H94O6","Glycerolipids","Triradylglycerols","TAG",56938013,56938013,NA,"only_direct","","","","","","RM0063305"
"TG 43:0","lightgreen","3.71_754.69","BIVVSKATUZHURG-UHFFFAOYSA-N","[M+NH4]+",754.6916,3.706,"ESI pos","C46H88O6","Glycerolipids","Triradylglycerols","TAG",138126990,138126990,NA,"only_direct","","","","","","RM0069016"
"TG 44:2","lightgreen","3.51_764.68","LJXSUVSRRMQRRA-WHTYERKGSA-N","[M+NH4]+",764.6764,3.51,"ESI pos","C47H86O6","Glycerolipids","Triradylglycerols","TAG",56936464,56936464,NA,"only_direct","","","","","","RM0089970"
"TG 45:0","lightgreen","3.88_782.72","RIBSYLFDZQICKH-UHFFFAOYSA-N","[M+NH4]+",782.7214,3.884,"ESI pos","C48H92O6","Glycerolipids","Triradylglycerols","TAG",138252395,138252395,NA,"only_direct","","","","","","RM0065683"
"TG 46:2","lightgreen","3.71_792.71","XUEMVUXNOCIHLG-MOFPORNTSA-N","[M+NH4]+",792.7064,3.705,"ESI pos","C49H90O6","Glycerolipids","Triradylglycerols","TAG",56936582,56936582,NA,"only_direct","","","","","","RM0134217"
"TG 47:0|TG 14:0_16:0_17:0","lightgreen","4.04_810.75","LVVDEVHUTIMHAK-UHFFFAOYSA-N","[M+NH4]+",810.7543,4.035,"ESI pos","C50H96O6","Glycerolipids","Triradylglycerols","TAG",138206625,138206625,NA,"only_direct","","","","","","RM0077336"
"TG 47:2","lightgreen","3.76_806.72","IQJXUVXBOJLBGI-ZJMBEJSASA-N","[M+NH4]+",806.7224,3.76,"ESI pos","C50H92O6","Glycerolipids","Triradylglycerols","TAG",138179749,138179749,NA,"only_direct","","","","","","RM0065684"
"TG 47:3 Isomer B","lightgreen","3.62_804.71","RSOCCAXBUJEZFM-AAPVPQQHSA-N","[M+NH4]+",804.7064,3.623,"ESI pos","C50H90O6","Glycerolipids","Triradylglycerols","TAG",138255788,138255788,NA,"only_direct","","","","","","RM0015232"
"TG 49:3","lightgreen","3.78_832.74","DIGMYZZFQSIQBD-PNLKURBTSA-N","[M+NH4]+",832.7385,3.777,"ESI pos","C52H94O6","Glycerolipids","Triradylglycerols","TAG",56938088,56938088,NA,"only_direct","","","","","","RM0134254"
"PC 31:0","lightyellow","2.21_720.55_2.26_742.54","NPGWXTIWUUFYAB-DIPNUNPCSA-N","[M+H]+_[M+Na]+",NA,2.2305,"ESI pos","C39H78NO8P","Glycerophospholipids","Glycerophosphocholines","PC",24778680,24778680,NA,"only_direct","","","","","","RM0134906"
"PC 33:0","lightyellow","2.45_748.59","FHENRYRLCPXONH-LDLOPFEMSA-N","[M+H]+",748.5864,2.446,"ESI pos","C41H82NO8P","Glycerophospholipids","Glycerophosphocholines","PC",52922645,52922645,NA,"only_direct","","","","","","RM0011313"
"PC 34:0","lightyellow","2.57_762.60_2.57_784.58","PZNPLUBHRSSFHT-RRHRGVEJSA-N","[M+H]+_[M+Na]+",NA,2.571,"ESI pos","C42H84NO8P","Glycerophospholipids","Glycerophosphocholines","PC",24778686,24778686,NA,"only_direct","","","","","","RM0134843"
"PC 35:1","lightyellow","2.46_774.60",NA,"[M+H]+PC 35:1 ",774.6012,2.461,"ESI pos","C43H84NO8P","Glycerophospholipids","Glycerophosphocholines","PC",NA,NA,NA,"both_missing","","","","","","RM0134901"
"PC 36:0","lightyellow","2.80_790.63","NRJAVPSFFCBXDT-UHFFFAOYSA-N","[M+H]+",790.6341,2.804,"ESI pos","C44H88NO8P","Glycerophospholipids","Glycerophosphocholines","PC",65146,65146,NA,"only_direct","","","","","","RM0025422"
"PC 38:1","lightyellow","2.79_816.65",NA,"[M+H]+",816.6476,2.793,"ESI pos","C46H90NO8P","Glycerophospholipids","Glycerophosphocholines","PC",NA,NA,NA,"both_missing","","","","","","RM0134845"
"PC 40:1","lightyellow","3.03_844.68","BTLDQGKXGHSRQN-FCQUAONHSA-N","[M+H]+",844.6786,3.028,"ESI pos","C48H94NO8P","Glycerophospholipids","Glycerophosphocholines","PC",138130353,138130353,NA,"only_direct","","","","","","RM0171086"
"PC O-36:1","lightyellow","2.74_774.64","CTZJPIRYGNJXMR-MRCUWXFGSA-N","[M+H]+",774.6381,2.738,"ESI pos","C44H88NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",138138968,138138968,NA,"only_direct","","","","","","RM0052212"
"PC P-36:1 or PC O-36:2 A","lightyellow","2.52_772.62","ZYLPVUZBZNMVMR-ZBBHDILGSA-N","[M+H]+",772.621,2.519,"ESI pos","C44H86NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",52923754,52923754,NA,"only_direct","","","","","","RM0052630"
"PC P-36:1 or PC O-36:2 A","lightyellow","2.52_772.62","ZYLPVUZBZNMVMR-ZBBHDILGSA-N","[M+H]+",772.621,2.519,"ESI pos","C44H86NO7P","Glycerophospholipids","Glycerophosphocholines","O-PC",52923754,52923754,NA,"only_direct","","","","","","RM0052630"
"4-HDoHE","magenta","0.32_343.23","IFRKCNPQVIJFAQ-UHFFFAOYSA-N","[M-H]-",343.227,0.316,"ESI neg","C22H32O3","Fatty Acyls","Docosanoids","Docosanoids",53394255,53394255,14429109,"disagree","72624","HMDB0060049","LMFA04000024","","IFRKCNPQVIJFAQ-PQVBWYSWSA-N","RM0153146"
"5-HETE","magenta","0.33_319.23","KGIJOOYOSFUGPC-UHFFFAOYSA-N","[M-H]-",319.2274,0.328,"ESI neg","C20H32O3","Fatty Acyls","Eicosanoids","HETE",1771,1771,9862886,"disagree","60943","HMDB0011134","LMFA03060084","C04805","KGIJOOYOSFUGPC-XTDASVJISA-N","RM0158210"
"8,15-DiHETE","magenta","0.28_335.22","NNPWRKSGORGTIM-HCCKYKKOSA-N","[M-H]-",335.223,0.28,"ESI neg","C20H32O4","Fatty Acyls","Eicosanoids","HETE",5283183,5283183,53480358,"disagree","88456","HMDB0010219","LMFA03060109","","NNPWRKSGORGTIM-RCDCWWQHSA-N","RM0139563"
"FA 18:1 (oleic acid)","magenta","1.13_281.25","ZQPPMHVWECSIRJ-KTKRTIGZSA-N","[M-H]-",281.2493,1.13,"ESI neg","C18H34O2","Fatty Acyls","Fatty acids","Unsaturated FA",445639,445639,445639,"agree","16196","HMDB0000207","LMFA01030002","C00712","ZQPPMHVWECSIRJ-KTKRTIGZSA-N","RM0151650"
"FA 18:2 (linoleic acid)","magenta","0.85_279.23","JBYXPOFIGCOSSB-XBLVEGMJSA-N","[M-H]-",279.2329,0.85,"ESI neg","C18H32O2","Fatty Acyls","Fatty acids","Unsaturated FA",5282796,5282796,5280450,"disagree","17351","HMDB0000673","LMFA01030120","C01595","OYHQOLUKZRVURQ-HZJYTTRNSA-N","RM0149976"
"FA 18:3 (linolenic acid)","magenta","0.65_277.22","DTOSIQBPPRVQHS-PDBXOOCHSA-N","[M-H]-",277.217,0.65,"ESI neg","C18H30O2","Fatty Acyls","Fatty acids","Unsaturated FA",5280934,5280934,NA,"only_direct","","","","","","RM0139661"
"FA 20:2 (eicosadienoic acid)","magenta","1.25_307.26","XSXIVVZCUAHUJO-HZJYTTRNSA-N","[M-H]-",307.2637,1.248,"ESI neg","C20H36O2","Fatty Acyls","Fatty acids","Unsaturated FA",6439848,6439848,NA,"only_direct","","","","","","RM0149923"
"FA 20:3 (homo-gamma-linolenic acid)","magenta","0.98_305.25","HOBAELRKJCKHQD-QNEBEIHSSA-N","[M-H]-",305.2488,0.976,"ESI neg","C20H34O2","Fatty Acyls","Fatty acids","Unsaturated FA",5280581,5280581,5280581,"agree","53486","HMDB0002925","LMFA01030158","C03242","HOBAELRKJCKHQD-QNEBEIHSSA-N","RM0153916"
"FA 20:4 (arachidonic acid)","magenta","0.80_303.23","YZXBAPSDXZZRGB-DOFZRALJSA-N","[M-H]-",303.2329,0.797,"ESI neg","C20H32O2","Fatty Acyls","Fatty acids","Unsaturated FA",444899,444899,444899,"agree","15843","HMDB0001043","LMFA01030001","C00219","YZXBAPSDXZZRGB-DOFZRALJSA-N","RM0153612"
"FA 20:5 (eicosapentaenoic acid)","magenta","0.61_301.22","JAZBEHYOTPTENJ-JLNKQSITSA-N","[M-H]-",301.2173,0.608,"ESI neg","C20H30O2","Fatty Acyls","Fatty acids","Unsaturated FA",446284,446284,NA,"only_direct","","","","","","RM0151646"
"FA 22:4","magenta","1.11_331.26","TWSWSIQAPQLDBP-DOFZRALJSA-N","[M-H]-",331.2644,1.113,"ESI neg","C22H36O2","Fatty Acyls","Fatty acids","Unsaturated FA",5497181,5497181,NA,"only_direct","","","","","","RM0139662"
"FA 22:6 (docosahexaenoic acid)","magenta","0.70_327.23","MBMBGCFOFBJSGT-KUBAVDMBSA-N","[M-H]-",327.2328,0.703,"ESI neg","C22H32O2","Fatty Acyls","Fatty acids","Unsaturated FA",445580,445580,NA,"only_direct","","","","","","RM0137845"
"FAHFA 38:4","magenta","1.13_585.49","UWSSQGYIAHOMJM-OMCRSCLLSA-N","[M-H]-",585.4858,1.129,"ESI neg","C38H66O4","Fatty Acyls","Fatty esters","FAHFA",138276051,138276051,NA,"only_direct","","","","","","RM0152767"
"13-HODE","magenta","0.32_295.23","HNICUWMFWZBIFP-KDFHGORWSA-N","[M-H]-",295.2281,0.32,"ESI neg","C18H32O3","Fatty Acyls","Octadecanoids","HODE",5282948,5282948,5282948,"agree","","","LMFA02000155","","","RM0139907"
"LPC 14:0","midnightblue","0.43_468.31","VXUOFDJKYGDUJI-OAQYLSRUSA-N","[M+H]+",468.3087,0.433,"ESI pos","C22H46NO7P","Glycerophospholipids","Glycerophosphocholines","LPC",460604,460604,460604,"agree","64489","HMDB0010379","LMGP01050012","C04230","VXUOFDJKYGDUJI-OAQYLSRUSA-N","RM0135070"
